Arquivo,Parágrafo,Número do parágrafo
adenovirus_guia_1txt_guiavsa2023.txt,"1 VIGILÂNCIA INTEGRADA DA COVID-19, INFLUENZA E OUTROS VÍRUS 1.2 OBJETIVOS DA VIGILÂNCIA INTEGRADA DA COVID-19, INFLUENZA E OUTROS 2.5.3 SURTO DE SÍNDROME GRIPAL (SG) SUSPEITO PARA COVID-19 EM AMBIENTES 3.5.2 SÍNDROME GRIPAL EM PACIENTES COM CONDIÇÕES E FATORES DE RISCO 3.5.3 SÍNDROME GRIPAL EM PACIENTES SEM CONDIÇÕES E FATORES DE RISCO 3.6.3 VIGILÂNCIA DE SURTO DE SÍNDROME GRIPAL (SG) SUSPEITO PARA INFLUENZA 5 VIGILÂNCIA DE SURTO DE SÍNDROME GRIPAL (SG) POR VÍRUS 6 MEDIDAS DE PREVENÇÃO E CONTROLE NÃO FARMACOLÓGICAS ANEXO A – OPERACIONALIZAÇÃO DA COLETA DE AMOSTRAS DE OROFARINGE ANEXO C – VALORES NORMAIS DE FREQUÊNCIA CARDÍACA (FC) E FREQUÊNCIA ANEXO D – ADMINISTRAÇÃO DE ANTIVIRAIS NO TRATAMENTO DE INFLUENZA – em humanos, com importante impacto na morbidade e na mortalidade da população em todo o mundo.",1
adenovirus_guia_1txt_guiavsa2023.txt,"Em julho de 2020, a SVSA transferiu as ações da vigilância da covid-19 para o grupo técnico de vigilância da influenza, que na época estava alocado na Coordenação-Geral do Programa Nacional de Imunizações, extinta em janeiro 2023.",8
adenovirus_guia_1txt_guiavsa2023.txt,"Tendo em vista o final da Emergência de Saúde Pública de Importância Nacional (Espin) pelo Ministério da Saúde (MS), o final da Emergência de Saúde Pública de Importância Internacional (Espii) pela Organização Mundial da Saúde (OMS), a redução de casos de covid-19 observada no Brasil em 2023 e a circulação e até ocorrência de surtos por outros vírus respiratórios, torna-se necessário ter um documento integrado e normatizador da vigilância dos vírus respiratórios.",10
adenovirus_guia_1txt_guiavsa2023.txt,"Dessa forma, a Coordenação-Geral de Vigilância das Doenças Imunopreveníveis, do Departamento da Saúde (CGVDI/DPNI/SVSA/MS) e a Coordenação-Geral de Vigilância da Covid-19, Influenza e Outros Vírus Respiratórios do Departamento de Doenças Transmissíveis (CGCOVID/DEDT/SVSA/MS), apresenta a primeira versão do Guia de Vigilância Integrada da Covid-19, Influenza e Outros Vírus Respiratórios de Importância em Saúde Pública.",11
adenovirus_guia_1txt_guiavsa2023.txt,"No ano 2000, o Ministério da Saúde (MS) implantou a vigilância da influenza, por meio da vigilância sentinela de síndrome gripal (SG), com a finalidade de monitorar a circulação dos vírus influenza e de outros vírus respiratórios.",19
adenovirus_guia_1txt_guiavsa2023.txt,Vigilância da influenza no Brasil até março de 2020 2000 2009 Fonte: elaboração própria. de coletar amostras clínicas por amostragem de pacientes que se enquadram na definição de SG.,26
adenovirus_guia_1txt_guiavsa2023.txt,"Com a transição do Centro de Operações de Emergência da covid-19 da SVSA para a Secretaria- -Executiva do MS, por meio da publicação da Portaria n.º 3.190, de 26 de novembro de 2020 (Brasil, 2020b), a vigilância dos casos leves e moderados da covid-19, via e-SUS Notifica, ficou sob a responsabilidade da Coordenação-Geral de Informações e Análises Epidemiológicas (Cgiae), e a vigilância dos casos de Srag com a Coordenação-Geral do Programa Nacional de Imunizações (CGPNI).",37
adenovirus_guia_1txt_guiavsa2023.txt,"Em julho de 2020, a SVSA tomou a decisão de transferir toda a vigilância da covid-19 para a CGPNI, uma vez que nessa Coordenação estava a equipe responsável pela vigilância de influenza.",38
adenovirus_guia_1txt_guiavsa2023.txt,"GUIA DE VIGILÂNCIA INTEGRADA DA COVID-19, INFLUENZA E OUTROS países pioneiros a integrar a vigilância da covid-19 com a vigilância da influenza. da Covid-19, Influenza e Outros Vírus Respiratórios de Importância em Saúde Pública, em 11 de julho de 2022, instituiu-se a Coordenação-Geral de Vigilância das Síndromes Gripais (CGGripe) por meio da Portaria GM/MS n.º 2.909/2022, no então Departamento de Imunização e Doenças Transmissíveis (Deidt) da SVSA (Brasil, 2022b).",41
adenovirus_guia_1txt_guiavsa2023.txt,"Em 20 de janeiro de 2023, a CGGripe passou a fazer parte da Coordenação-Geral de Vigilância das Doenças Imunopreveníveis (CGVDI) do Departamento do Programa Nacional de Imunizações (DPNI) da SVSA.",42
adenovirus_guia_1txt_guiavsa2023.txt,"Em 19 de junho de 2024, com a reestruturação da SVSA, foi instituída a Coordenação-Geral de Vigilância da Covid-19, Influenza e Outros Vírus Respiratórios (CGCOVID), que faz parte do Departamento de Doenças Transmissíveis (DEDT).",43
