Arquivo,Parágrafo,Número do parágrafo,Pergunta
tuberculose_protocolo_3.txt,"Journal of Clinical Microbiology, vol 6(2), p. 149-153.1977. 6.",2938,question: What is the name of the journal that published the article?
tuberculose_protocolo_3.txt,Controle Interno da Qualidade para Testes de Sensibilidade a Antimicrobianos.,2940,question: What is the name of the test?
tuberculose_protocolo_3.txt,"From ATCC Connection 23(2): 6-7, 2003.",2943,question: What was the date of the ATCC Connection 23(2)?
tuberculose_protocolo_3.txt,Capítulo 10 – Conservação de Micobactérias 8.,2944,question: What is the name of the captulo 10?
tuberculose_protocolo_3.txt,ATCC/American Tissue American Tissue Culture Collection.,2945,question: What is the ATCC/American Tissue American Tissue Culture Collection?
tuberculose_protocolo_3.txt,"Para preparar 1.000 ml de meio dissolver 4,7 gramas do meio base em 800 ml de água deionozada.",2947,question: How many grams of meio base do you need to dissolve?
tuberculose_protocolo_3.txt,Autoclavar por 15 minutos a 127ºC.,2949,question: How long does it take to autoclave?
tuberculose_protocolo_3.txt,Aguardar até que esfrie e adicionar 100 ml de OADC.,2950,question: Aguardar e adicionar 100 ml de OADC?
tuberculose_protocolo_3.txt,"Colocar um rótulo contendo o nome do meio, nº do lote, data do preparo e de validade.",2951,question: What does a rótulo do?
tuberculose_protocolo_3.txt,Dependendo da quantidade de cepas congeladas na rotina do laboratório pode- se fazer este meio em menor volume ou fazer 5 alíquotas de 200 ml.,2952,question: What is the amount of cepas congeladas in a rotina?
tuberculose_protocolo_3.txt,"Isto evita a con- taminação do meio. 10 .5 .3 .2 Meio de Sauton com 10% de Glicerol L-asparagina 4 g Sulfato de magnésio 0,5 g Fosfato bipotássico 0,5 g Ácido cítrico 2 g Citrato férrico amoniacal 0,05 g Glicerol 100 ml Água destilada qsp 1000 ml Preparo: Pesar os sais separadamente e dissolver os componentes em água fervente.",2953,question: What is the main benefit of a 10% de Glicerol L-asparagina?
tuberculose_protocolo_3.txt,"Acertar o pH para 7,2 com NaOH, filtrar em papel de filtro e autoclavar a 121ºC/15 min.",2954,question: What is the process of acertar pH?
tuberculose_protocolo_3.txt,"Colocar um rótulo contendo o nome do meio, nº do lote, data do preparo e de validade. 404 Secretaria de Vigilância em Saúde/MS 11 .1 Descrição para a qualidade dos exames realizados.",2955,question: What is the name of the rótulo?
tuberculose_protocolo_3.txt,"O mau uso, a constante utilização ou até mesmo o uso não periódico fazem com que o padrão de desempenho seja perdido.",2956,question: O padro de desempenho seja perdido?
tuberculose_protocolo_3.txt,"Por esse motivo, é muito importante o monitoramento dos equipamentos.",2957,question: O monitoramento dos equipamentos é muito important?
tuberculose_protocolo_3.txt,"São recomendações gerais para a instalação e uso dos equipamentos de labora- tório1. • Realizar o aterramento da rede elétrica. • Utilizar uma tomada para cada equipamento. • Anotar a voltagem das tomadas e dos cabos de cada equipamento. • Treinar os profissionais nos procedimentos de uso (POP – Procedimento Operacional Padrão) e limpeza dos equipamentos. • Seguir as instruções de instalação contidas nos manuais. • Manter em local acessível o manual de cada equipamento. • Evitar o uso de capas plásticas na proteção dos equipamentos, quando os mes- mos estão fora de uso.",2959,question: What are the recomendaçes gerais for?
tuberculose_protocolo_3.txt,"Elas favorecem a condensação de umidade, resultando na oxidação dos componentes elétricos/eletrônicos, bem como o crescimento de fungos.",2960,question: What is the effect of oxidation of components elétricos/eletrônicos?
tuberculose_protocolo_3.txt,As capas confeccionadas em tecidos que não soltam fibras são as indica- das para esse fim. • Desligar os equipamentos da rede elétrica antes de qualquer procedimento de limpeza. • Desinfetar os equipamentos antes de enviá-los à manutenção. • Fazer contrato de assistência técnica sempre que possível. • Registrar todos os equipamentos no programa de manutenção preventiva do la- boratório.,2961,question: What is the purpose of a capas confeccionadas?
tuberculose_protocolo_3.txt,"Conforme o método de diagnóstico, os equipamentos necessários estão apresen- tados no Quadro 1.",2962,question: Os equipamentos necessários esto apresen- tados no Quadro 1?
tuberculose_protocolo_3.txt,"Capitulo 11 – Uso e Monitoramento de Equipamentos Quadro 1 Equipamentos utilizados conforme métodos de diagnóstico de CULTURA, IDENTIFICAÇÃO FENOTÍPICA E CONSERVAÇÃO DE CEPAS Banho-Maria Cabine de Segurança Biológica Capela de Exaustão Medidor de pH Micro-Centrifuga Micropipetadores 11 .2 Equipamentos 11 .2 .1 Agitador mecânico Usado para promover a agitação e homogeneização de soluções em tubos (ensaio ou centrífuga) ou microtubos. • Verificar sempre a presença de fissuras nos tubos de ensaio de vidro antes de efetuar a agitação. • Verificar sempre as condições da borracha do receptáculo de tubo. • Selecionar a chave de “agitação contínua” ou “agitação periódica”.",2963,question: What is the Capitulo 11 – Uso e Monitoramento de Equipamentos Quadro 1 Equipamentos utilizados conforme métodos de diagnóstico de CULTURA?
tuberculose_protocolo_3.txt,"No uso da contínua, regular a velocidade desejada girando o potenciômetro e colocar o tubo ou frasco para agitação.",2964,question: A velocidade desejada girando o potenciômetro e colocar o tubo ou frasco para agitaço?
tuberculose_protocolo_3.txt,"Na periódica, o aparelho permanece desligado e 406 Secretaria de Vigilância em Saúde/MS para colocá-lo em funcionamento, basta pressionar o receptáculo de borracha com o próprio tubo a ser agitado. • Enviar para assistência técnica credenciada, anualmente, para realização para aferição e ajuste. 11 .2 .2 Autoclave A autoclave é um equipamento utilizado para esterilização de materiais e, no caso de ser uma autoclave vertical, não deve estar dentro do laboratório, mas deve estar o mais próximo possível do mesmo2.",2965,question: What is the name of the person who is responsible for the security of the public?
